Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PublicUser_URL,Firefox 85.0,PublicUser_URL,,2021-02-18 20:29:53,2021-02-18 20:31:23,1m - 30.387s,FAILED
,,,,,,,
"Test Cases/UploadDiffURLs_PublicUser/TC_As a public user, Successfully submit the URL",Firefox 85.0,,,2021-02-18 20:29:55,2021-02-18 20:30:29,34.398s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-18 20:29:55,2021-02-18 20:29:56,0.621s,PASSED
"sampleURL = excelTestData.getValue(2, 370)",Firefox 85.0,,,2021-02-18 20:29:56,2021-02-18 20:29:56,0.047s,PASSED
"userEmail = excelTestData.getValue(6, 23)",Firefox 85.0,,,2021-02-18 20:29:56,2021-02-18 20:29:56,0.001s,PASSED
"customKeywords.commanFunctions.enterURLOfPublicUser(sampleURL, userEmail)",Firefox 85.0,,,2021-02-18 20:29:56,2021-02-18 20:30:27,31.690s,PASSED
customKeywords.commanFunctions.onlyCloseBrowser(),Firefox 85.0,,,2021-02-18 20:30:27,2021-02-18 20:30:29,1.852s,PASSED
,,,,,,,
"Test Cases/UploadDiffURLs_PublicUser/TC_As a public user, Successfully submit the URLWithPathParameters",Firefox 85.0,,,2021-02-18 20:30:29,2021-02-18 20:30:48,19.123s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-18 20:30:29,2021-02-18 20:30:29,0.048s,PASSED
"sampleURL = excelTestData.getValue(2, 374)",Firefox 85.0,,,2021-02-18 20:30:29,2021-02-18 20:30:29,0.003s,PASSED
"userEmail = excelTestData.getValue(6, 23)",Firefox 85.0,,,2021-02-18 20:30:29,2021-02-18 20:30:29,0.004s,PASSED
"customKeywords.commanFunctions.enterURLOfPublicUser(sampleURL, userEmail)",Firefox 85.0,,,2021-02-18 20:30:29,2021-02-18 20:30:47,17.519s,PASSED
customKeywords.commanFunctions.onlyCloseBrowser(),Firefox 85.0,,,2021-02-18 20:30:47,2021-02-18 20:30:48,1.421s,PASSED
,,,,,,,
"Test Cases/UploadDiffURLs_PublicUser/TC_As a public user, Successfully submit the URLWithQueryParameters",Firefox 85.0,,,2021-02-18 20:30:48,2021-02-18 20:31:06,17.522s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-18 20:30:48,2021-02-18 20:30:48,0.042s,PASSED
"sampleURL = excelTestData.getValue(2, 378)",Firefox 85.0,,,2021-02-18 20:30:48,2021-02-18 20:30:48,0.001s,PASSED
"userEmail = excelTestData.getValue(6, 23)",Firefox 85.0,,,2021-02-18 20:30:48,2021-02-18 20:30:48,0.001s,PASSED
"customKeywords.commanFunctions.enterURLOfPublicUser(sampleURL, userEmail)",Firefox 85.0,,,2021-02-18 20:30:48,2021-02-18 20:31:05,16.487s,PASSED
customKeywords.commanFunctions.onlyCloseBrowser(),Firefox 85.0,,,2021-02-18 20:31:05,2021-02-18 20:31:06,0.882s,PASSED
,,,,,,,
"Test Cases/UploadDiffURLs_PublicUser/TC_As public user , Trigger URL validation with invalid formats",Firefox 85.0,,,2021-02-18 20:31:06,2021-02-18 20:31:23,17.745s,FAILED
customKeywords.commanFunctions.openBrowser(),Firefox 85.0,,,2021-02-18 20:31:06,2021-02-18 20:31:18,11.670s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-18 20:31:18,2021-02-18 20:31:18,0.054s,PASSED
"click(findTestObject(""Object Repository/PublicUserHomePage/UrlTab""))",Firefox 85.0,,,2021-02-18 20:31:18,2021-02-18 20:31:18,0.559s,PASSED
"ErrorValidationMessage = excelTestData.getValue(3, 42)",Firefox 85.0,,,2021-02-18 20:31:18,2021-02-18 20:31:18,0.001s,PASSED
"for ([i = 42, i <= 46, (i++)])",Firefox 85.0,,,2021-02-18 20:31:18,2021-02-18 20:31:22,4.307s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-18 20:31:22,2021-02-18 20:31:23,1.053s,PASSED
