Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_Suite,Firefox 85.0,Login_Suite,,2021-02-19 19:34:25,2021-02-19 19:41:34,7m - 9.268s,FAILED
,,,,,,,
"Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/CSP-T74_1.0_As a User, I want to verify that system send me a forget my password link when I request",Firefox 85.0,,,2021-02-19 19:34:28,2021-02-19 19:35:26,57.477s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-19 19:34:29,2021-02-19 19:34:30,1.354s,PASSED
"validationMessage = excelTestData.getValue(2, 8)",Firefox 85.0,,,2021-02-19 19:34:30,2021-02-19 19:34:30,0.074s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Firefox 85.0,,,2021-02-19 19:34:30,2021-02-19 19:34:30,0.126s,PASSED
"forgotPwd = findTestObject(""Object Repository/LoginAndRigisterUser/ForgotPwd"")",Firefox 85.0,,,2021-02-19 19:34:30,2021-02-19 19:34:30,0.093s,PASSED
"ForgotPwdSubmitBtn = findTestObject(""Object Repository/LoginAndRigisterUser/ForgotPwdSubmitBtn"")",Firefox 85.0,,,2021-02-19 19:34:30,2021-02-19 19:34:30,0.090s,PASSED
customKeywords.commanFunctions.openBrowser(),Firefox 85.0,,,2021-02-19 19:34:30,2021-02-19 19:35:23,52.941s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-19 19:35:23,2021-02-19 19:35:26,2.250s,PASSED
,,,,,,,
"Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/CSP-T75_1.0_As a User, I want to verify that System detects incorrect user email",Firefox 85.0,,,2021-02-19 19:35:26,2021-02-19 19:36:18,52.782s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-19 19:35:26,2021-02-19 19:35:26,0.089s,PASSED
"validationMessage = excelTestData.getValue(2, 12)",Firefox 85.0,,,2021-02-19 19:35:26,2021-02-19 19:35:26,0.004s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Firefox 85.0,,,2021-02-19 19:35:26,2021-02-19 19:35:26,0.081s,PASSED
"forgotPwd = findTestObject(""Object Repository/LoginAndRigisterUser/ForgotPwd"")",Firefox 85.0,,,2021-02-19 19:35:26,2021-02-19 19:35:26,0.071s,PASSED
"ForgotPwdSubmitBtn = findTestObject(""Object Repository/LoginAndRigisterUser/ForgotPwdSubmitBtn"")",Firefox 85.0,,,2021-02-19 19:35:26,2021-02-19 19:35:26,0.088s,PASSED
customKeywords.commanFunctions.openBrowser(),Firefox 85.0,,,2021-02-19 19:35:26,2021-02-19 19:36:16,50.059s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-19 19:36:16,2021-02-19 19:36:18,2.138s,PASSED
,,,,,,,
Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/TC_LoginUserWithInValidCredentialsAndVerifyErrorMsg,Firefox 85.0,,,2021-02-19 19:36:18,2021-02-19 19:37:11,52.825s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-19 19:36:19,2021-02-19 19:36:19,0.061s,PASSED
"validationMessage = excelTestData.getValue(2, 4)",Firefox 85.0,,,2021-02-19 19:36:19,2021-02-19 19:36:19,0.001s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Firefox 85.0,,,2021-02-19 19:36:19,2021-02-19 19:36:19,0.085s,PASSED
"LoginBtn = findTestObject(""Object Repository/LoginAndRigisterUser/LoginBtn"")",Firefox 85.0,,,2021-02-19 19:36:19,2021-02-19 19:36:19,0.084s,PASSED
customKeywords.commanFunctions.openBrowser(),Firefox 85.0,,,2021-02-19 19:36:19,2021-02-19 19:37:09,50.333s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-19 19:37:09,2021-02-19 19:37:11,1.995s,PASSED
,,,,,,,
Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/TC_LoginUserWithInValidPasswordAndVerifyLoginShouldNotSucss,Firefox 85.0,,,2021-02-19 19:37:11,2021-02-19 19:38:03,51.693s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-19 19:37:11,2021-02-19 19:37:11,0.058s,PASSED
"validationMessage = excelTestData.getValue(2, 4)",Firefox 85.0,,,2021-02-19 19:37:11,2021-02-19 19:37:11,0.000s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Firefox 85.0,,,2021-02-19 19:37:11,2021-02-19 19:37:12,0.083s,PASSED
"LoginBtn = findTestObject(""Object Repository/LoginAndRigisterUser/LoginBtn"")",Firefox 85.0,,,2021-02-19 19:37:12,2021-02-19 19:37:12,0.062s,PASSED
customKeywords.commanFunctions.openBrowser(),Firefox 85.0,,,2021-02-19 19:37:12,2021-02-19 19:38:01,49.401s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-19 19:38:01,2021-02-19 19:38:03,1.829s,PASSED
,,,,,,,
Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/TC_LoginUserWithInValidUserNameAndVerifyLoginShouldNotSucss,Firefox 85.0,,,2021-02-19 19:38:03,2021-02-19 19:38:55,52.470s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-19 19:38:03,2021-02-19 19:38:03,0.046s,PASSED
"validationMessage = excelTestData.getValue(2, 4)",Firefox 85.0,,,2021-02-19 19:38:03,2021-02-19 19:38:03,0.000s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Firefox 85.0,,,2021-02-19 19:38:03,2021-02-19 19:38:03,0.073s,PASSED
"LoginBtn = findTestObject(""Object Repository/LoginAndRigisterUser/LoginBtn"")",Firefox 85.0,,,2021-02-19 19:38:03,2021-02-19 19:38:03,0.061s,PASSED
customKeywords.commanFunctions.openBrowser(),Firefox 85.0,,,2021-02-19 19:38:03,2021-02-19 19:38:54,50.245s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-19 19:38:54,2021-02-19 19:38:55,1.815s,PASSED
,,,,,,,
Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/TC_LoginUserWithValidCredentialsAndVerifyLoginSucss,Firefox 85.0,,,2021-02-19 19:38:55,2021-02-19 19:39:48,53.024s,FAILED
"callTestCase(findTestCase(""TC_Login_RegisterUserAndForgotYourPassword/CommanTCs/TC_LoginToBrowserAsAdmin""), null)",Firefox 85.0,,,2021-02-19 19:38:56,2021-02-19 19:39:46,50.857s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-19 19:39:46,2021-02-19 19:39:48,2.012s,PASSED
,,,,,,,
Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/TC_RigisterUserWithValidTestDataAndVerifyClickHereToResendEmailLink,Firefox 85.0,,,2021-02-19 19:39:48,2021-02-19 19:40:42,53.374s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-19 19:39:49,2021-02-19 19:39:49,0.040s,PASSED
"clickHereToResendEmai = findTestObject(""Object Repository/LoginAndRigisterUser/clickHereToResendEmai"")",Firefox 85.0,,,2021-02-19 19:39:49,2021-02-19 19:39:49,0.072s,PASSED
"ClickHereToResendLinkValidationMessage = excelTestData.getValue(2, 19)",Firefox 85.0,,,2021-02-19 19:39:49,2021-02-19 19:39:49,0.004s,PASSED
"callTestCase(findTestCase(""TC_Login_RegisterUserAndForgotYourPassword/CommanTCs/TC_RigisterUserWithValidTestDataAndVerify""), null)",Firefox 85.0,,,2021-02-19 19:39:49,2021-02-19 19:40:40,51.075s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-19 19:40:40,2021-02-19 19:40:42,1.901s,PASSED
,,,,,,,
Test Cases/TC_Login_RegisterUserAndForgotYourPassword/BasicTCs/TC_RigisterUserWithValidTestDataAndVerifyValidationMsg,Firefox 85.0,,,2021-02-19 19:40:42,2021-02-19 19:41:34,52.717s,FAILED
"callTestCase(findTestCase(""TC_Login_RegisterUserAndForgotYourPassword/CommanTCs/TC_RigisterUserWithValidTestDataAndVerify""), null)",Firefox 85.0,,,2021-02-19 19:40:42,2021-02-19 19:41:33,50.785s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-19 19:41:33,2021-02-19 19:41:34,1.798s,PASSED
