Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RegisterUser_Regression,Firefox 85.0,RegisterUser_Regression,,2021-02-15 22:47:02,2021-02-15 23:05:31,18m - 29.002s,ERROR
,,,,,,,
"Test Cases/UploadDiffFiles_RegisterUser/TC_As a register user, Upload Adobe PhotoShop File and verify Uploded file in Submission Page",Firefox 85.0,,,2021-02-15 22:47:04,2021-02-15 22:47:29,24.991s,ERROR
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 22:47:04,2021-02-15 22:47:05,0.547s,PASSED
"rigisterUN = excelTestData.getValue(6, 23)",Firefox 85.0,,,2021-02-15 22:47:05,2021-02-15 22:47:05,0.025s,PASSED
"rigisterPW = excelTestData.getValue(3, 23)",Firefox 85.0,,,2021-02-15 22:47:05,2021-02-15 22:47:05,0.001s,PASSED
"customKeywords.commanFunctions.uploadFileOfRegisterUser(309, rigisterUN, rigisterPW)",Firefox 85.0,,,2021-02-15 22:47:05,2021-02-15 22:47:28,23.166s,ERROR
Start tear down : tearDownMethodIfError,Firefox 85.0,,,2021-02-15 22:47:28,2021-02-15 22:47:29,1.072s,PASSED
,,,,,,,
"Test Cases/UploadDiffFiles_RegisterUser/TC_As a register user, Upload Basic Audio File and verify Uploded file in Submission Page",Firefox 85.0,,,2021-02-15 22:47:29,2021-02-15 22:48:10,41.385s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 22:47:29,2021-02-15 22:47:29,0.028s,PASSED
"rigisterUN = excelTestData.getValue(2, 23)",Firefox 85.0,,,2021-02-15 22:47:29,2021-02-15 22:47:29,0.000s,PASSED
"rigisterPW = excelTestData.getValue(3, 23)",Firefox 85.0,,,2021-02-15 22:47:29,2021-02-15 22:47:29,0.001s,PASSED
"customKeywords.commanFunctions.uploadFileOfRegisterUser(264, rigisterUN, rigisterPW)",Firefox 85.0,,,2021-02-15 22:47:29,2021-02-15 22:48:07,37.956s,PASSED
customKeywords.commanFunctions.logOutAndcloseBrowser(),Firefox 85.0,,,2021-02-15 22:48:07,2021-02-15 22:48:10,3.317s,PASSED
,,,,,,,
"Test Cases/UploadDiffFiles_RegisterUser/TC_As a register user, Upload CSV File and verify Uploded file in Submission Page",Firefox 85.0,,,2021-02-15 22:48:10,2021-02-15 22:48:50,40.043s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 22:48:10,2021-02-15 22:48:10,0.024s,PASSED
"rigisterUN = excelTestData.getValue(2, 23)",Firefox 85.0,,,2021-02-15 22:48:10,2021-02-15 22:48:10,0.000s,PASSED
"rigisterPW = excelTestData.getValue(3, 23)",Firefox 85.0,,,2021-02-15 22:48:10,2021-02-15 22:48:10,0.000s,PASSED
"customKeywords.commanFunctions.uploadFileOfRegisterUser(208, rigisterUN, rigisterPW)",Firefox 85.0,,,2021-02-15 22:48:10,2021-02-15 22:48:47,36.715s,PASSED
customKeywords.commanFunctions.logOutAndcloseBrowser(),Firefox 85.0,,,2021-02-15 22:48:47,2021-02-15 22:48:50,3.231s,PASSED
,,,,,,,
"Test Cases/UploadDiffFiles_RegisterUser/TC_As a register user, Upload Exe File and verify Uploded file in Submission Page",Firefox 85.0,,,2021-02-15 22:48:50,2021-02-15 22:50:23,1m - 33.120s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 22:48:50,2021-02-15 22:48:50,0.021s,PASSED
"rigisterUN = excelTestData.getValue(6, 23)",Firefox 85.0,,,2021-02-15 22:48:50,2021-02-15 22:48:50,0.001s,PASSED
"rigisterPW = excelTestData.getValue(3, 23)",Firefox 85.0,,,2021-02-15 22:48:50,2021-02-15 22:48:50,0.001s,PASSED
"customKeywords.commanFunctions.uploadFileOfRegisterUser(204, rigisterUN, rigisterPW)",Firefox 85.0,,,2021-02-15 22:48:50,2021-02-15 22:49:19,28.209s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-15 22:49:19,2021-02-15 22:50:23,1m - 4.816s,PASSED
,,,,,,,
"Test Cases/UploadDiffFiles_RegisterUser/TC_As a register user, Upload Graphics Interchange Format File and verify Uploded file in Submission Page",Firefox 85.0,,,2021-02-15 22:50:23,2021-02-15 22:50:59,35.891s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-15 22:50:23,2021-02-15 22:50:23,0.023s,PASSED
"rigisterUN = excelTestData.getValue(2, 23)",Firefox 85.0,,,2021-02-15 22:50:23,2021-02-15 22:50:23,0.001s,PASSED
"rigisterPW = excelTestData.getValue(3, 23)",Firefox 85.0,,,2021-02-15 22:50:23,2021-02-15 22:50:23,0.001s,PASSED
