Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PublicUser_URL,Firefox 85.0,PublicUser_URL,,2021-02-18 22:04:16,2021-02-18 22:05:25,1m - 9.148s,FAILED
,,,,,,,
"Test Cases/UploadDiffURLs_PublicUser/TC_As a public user, Successfully submit the URL",Firefox 85.0,,,2021-02-18 22:04:18,2021-02-18 22:04:36,18.237s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-18 22:04:18,2021-02-18 22:04:18,0.554s,PASSED
"sampleURL = excelTestData.getValue(2, 370)",Firefox 85.0,,,2021-02-18 22:04:18,2021-02-18 22:04:18,0.023s,PASSED
"userEmail = excelTestData.getValue(6, 23)",Firefox 85.0,,,2021-02-18 22:04:18,2021-02-18 22:04:18,0.001s,PASSED
"customKeywords.commanFunctions.enterURLOfPublicUser(sampleURL, userEmail)",Firefox 85.0,,,2021-02-18 22:04:18,2021-02-18 22:04:35,16.424s,PASSED
customKeywords.commanFunctions.onlyCloseBrowser(),Firefox 85.0,,,2021-02-18 22:04:35,2021-02-18 22:04:36,1.044s,PASSED
,,,,,,,
"Test Cases/UploadDiffURLs_PublicUser/TC_As a public user, Successfully submit the URLWithPathParameters",Firefox 85.0,,,2021-02-18 22:04:36,2021-02-18 22:04:52,16.211s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-18 22:04:36,2021-02-18 22:04:36,0.028s,PASSED
"sampleURL = excelTestData.getValue(2, 374)",Firefox 85.0,,,2021-02-18 22:04:36,2021-02-18 22:04:36,0.002s,PASSED
"userEmail = excelTestData.getValue(6, 23)",Firefox 85.0,,,2021-02-18 22:04:36,2021-02-18 22:04:36,0.000s,PASSED
"customKeywords.commanFunctions.enterURLOfPublicUser(sampleURL, userEmail)",Firefox 85.0,,,2021-02-18 22:04:36,2021-02-18 22:04:51,15.150s,PASSED
customKeywords.commanFunctions.onlyCloseBrowser(),Firefox 85.0,,,2021-02-18 22:04:51,2021-02-18 22:04:52,0.956s,PASSED
,,,,,,,
"Test Cases/UploadDiffURLs_PublicUser/TC_As a public user, Successfully submit the URLWithQueryParameters",Firefox 85.0,,,2021-02-18 22:04:52,2021-02-18 22:05:09,16.773s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-18 22:04:52,2021-02-18 22:04:52,0.030s,PASSED
"sampleURL = excelTestData.getValue(2, 378)",Firefox 85.0,,,2021-02-18 22:04:52,2021-02-18 22:04:52,0.001s,PASSED
"userEmail = excelTestData.getValue(6, 23)",Firefox 85.0,,,2021-02-18 22:04:52,2021-02-18 22:04:52,0.001s,PASSED
"customKeywords.commanFunctions.enterURLOfPublicUser(sampleURL, userEmail)",Firefox 85.0,,,2021-02-18 22:04:52,2021-02-18 22:05:08,15.708s,PASSED
customKeywords.commanFunctions.onlyCloseBrowser(),Firefox 85.0,,,2021-02-18 22:05:08,2021-02-18 22:05:09,0.960s,PASSED
,,,,,,,
"Test Cases/UploadDiffURLs_PublicUser/TC_As public user , Trigger URL validation with invalid formats",Firefox 85.0,,,2021-02-18 22:05:09,2021-02-18 22:05:25,16.497s,FAILED
customKeywords.commanFunctions.openBrowser(),Firefox 85.0,,,2021-02-18 22:05:09,2021-02-18 22:05:20,10.847s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Firefox 85.0,,,2021-02-18 22:05:20,2021-02-18 22:05:20,0.022s,PASSED
"click(findTestObject(""Object Repository/PublicUserHomePage/UrlTab""))",Firefox 85.0,,,2021-02-18 22:05:20,2021-02-18 22:05:20,0.489s,PASSED
"ErrorValidationMessage = excelTestData.getValue(3, 42)",Firefox 85.0,,,2021-02-18 22:05:20,2021-02-18 22:05:20,0.001s,PASSED
"for ([i = 42, i <= 46, (i++)])",Firefox 85.0,,,2021-02-18 22:05:20,2021-02-18 22:05:24,4.159s,FAILED
Start tear down : tearDownMethodIfFailed,Firefox 85.0,,,2021-02-18 22:05:24,2021-02-18 22:05:25,0.883s,PASSED
