Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PublicUser_UploadFiles,Chrome 86.0.4240.75,PublicUser_UploadFiles,,2021-02-18 23:22:40,2021-02-18 23:23:31,51.068s,FAILED
,,,,,,,
"Test Cases/UploadDiffFiles_PublicUser/TC_As a public user, Upload Adobe PhotoShop File",Chrome 86.0.4240.75,,,2021-02-18 23:22:41,2021-02-18 23:23:06,24.368s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Chrome 86.0.4240.75,,,2021-02-18 23:22:42,2021-02-18 23:22:42,0.597s,PASSED
"userEmail = excelTestData.getValue(2, 23)",Chrome 86.0.4240.75,,,2021-02-18 23:22:42,2021-02-18 23:22:42,0.026s,PASSED
"customKeywords.commanFunctions.uploadFileOfPublicUser(346, userEmail)",Chrome 86.0.4240.75,,,2021-02-18 23:22:42,2021-02-18 23:23:04,22.020s,FAILED
Start tear down : tearDownMethodIfFailed,Chrome 86.0.4240.75,,,2021-02-18 23:23:04,2021-02-18 23:23:06,1.529s,PASSED
,,,,,,,
"Test Cases/UploadDiffFiles_PublicUser/TC_As a public user, Upload PC Zip Compressed Archive File",Chrome 86.0.4240.75,,,2021-02-18 23:23:06,2021-02-18 23:23:31,25.208s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Chrome 86.0.4240.75,,,2021-02-18 23:23:06,2021-02-18 23:23:06,0.032s,PASSED
"userEmail = excelTestData.getValue(2, 23)",Chrome 86.0.4240.75,,,2021-02-18 23:23:06,2021-02-18 23:23:06,0.001s,PASSED
"customKeywords.commanFunctions.uploadFileOfPublicUser(366, userEmail)",Chrome 86.0.4240.75,,,2021-02-18 23:23:06,2021-02-18 23:23:30,24.149s,FAILED
Start tear down : tearDownMethodIfFailed,Chrome 86.0.4240.75,,,2021-02-18 23:23:30,2021-02-18 23:23:31,0.936s,PASSED
