Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite_LogIn_RigisterUserAndForgotPwd_Module,Chrome 86.0.4240.75,,,2021-02-03 23:14:51,2021-02-03 23:28:26,13m - 34.758s,FAILED
,,,,,,,
Test Cases/TC_Login_RigisterUserAndForgotYourPassword/BasicTCs/TC_LoginUserWithValidCredentialsAndVerifyLoginSucss,Chrome 86.0.4240.75,,,2021-02-03 23:14:53,2021-02-03 23:15:38,44.357s,PASSED
"callTestCase(findTestCase(""Test Cases/TC_Login_RigisterUserAndForgotYourPassword/CommanTCs/TC_LoginToBrowserAsAdmin""), null)",Chrome 86.0.4240.75,,,2021-02-03 23:14:54,2021-02-03 23:15:31,36.863s,PASSED
customKeywords.commanFunctions.logOutAndcloseBrowser(),Chrome 86.0.4240.75,,,2021-02-03 23:15:31,2021-02-03 23:15:38,7.074s,PASSED
,,,,,,,
"Test Cases/TC_PublicUser/CSP-T234b_1.0_As a public user, Verify successful submitting a sample message of file in EN",Chrome 86.0.4240.75,,,2021-02-03 23:15:38,2021-02-03 23:16:07,28.944s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Chrome 86.0.4240.75,,,2021-02-03 23:15:38,2021-02-03 23:15:39,0.683s,PASSED
customKeywords.commanFunctions.openBrowser(),Chrome 86.0.4240.75,,,2021-02-03 23:15:39,2021-02-03 23:15:58,19.101s,PASSED
"fileNameWithExten = excelTestData.getValue(2, 91)",Chrome 86.0.4240.75,,,2021-02-03 23:15:58,2021-02-03 23:15:58,0.069s,PASSED
"existedFileName = excelTestData.getValue(3, 91)",Chrome 86.0.4240.75,,,2021-02-03 23:15:58,2021-02-03 23:15:58,0.002s,PASSED
"customKeywords.commanFunctions.UploadReqFile(fileNameWithExten, existedFileName)",Chrome 86.0.4240.75,,,2021-02-03 23:15:58,2021-02-03 23:16:07,8.781s,FAILED
,,,,,,,
"Test Cases/TC_PublicUser/CSP-T9_1.0_As public user , Trigger URL validation with invalid formats - Check message",Chrome 86.0.4240.75,,,2021-02-03 23:16:07,2021-02-03 23:16:33,26.807s,FAILED
customKeywords.commanFunctions.openBrowser(),Chrome 86.0.4240.75,,,2021-02-03 23:16:07,2021-02-03 23:16:27,19.639s,PASSED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Chrome 86.0.4240.75,,,2021-02-03 23:16:27,2021-02-03 23:16:27,0.128s,PASSED
"click(findTestObject(""Object Repository/PublicUserHomePage/UrlTab""))",Chrome 86.0.4240.75,,,2021-02-03 23:16:27,2021-02-03 23:16:28,0.606s,PASSED
"ErrorValidationMessage = excelTestData.getValue(3, 42)",Chrome 86.0.4240.75,,,2021-02-03 23:16:28,2021-02-03 23:16:28,0.004s,PASSED
"for ([i = 42, i <= 46, (i++)])",Chrome 86.0.4240.75,,,2021-02-03 23:16:28,2021-02-03 23:16:33,5.730s,FAILED
,,,,,,,
"Test Cases/TC_RigisterUser/RigisterUserTCs/CSP-T21_1.0_As Registered User, I want to verify that I can successfully upload Compressed file to scan",Chrome 86.0.4240.75,,,2021-02-03 23:16:33,2021-02-03 23:17:16,42.929s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Chrome 86.0.4240.75,,,2021-02-03 23:16:34,2021-02-03 23:16:34,0.100s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Chrome 86.0.4240.75,,,2021-02-03 23:16:34,2021-02-03 23:16:34,0.119s,PASSED
customKeywords.commanFunctions.openBrowser(),Chrome 86.0.4240.75,,,2021-02-03 23:16:34,2021-02-03 23:16:53,18.931s,PASSED
"waitForElementClickable(findTestObject(""LoginAndRigisterUser/LoginLink""), TimeOut)",Chrome 86.0.4240.75,,,2021-02-03 23:16:53,2021-02-03 23:16:54,0.535s,PASSED
customKeywords.commanFunctions.clickElementWithJS(obj),Chrome 86.0.4240.75,,,2021-02-03 23:16:54,2021-02-03 23:16:55,1.073s,PASSED
"rigisterUN = excelTestData.getValue(2, 23)",Chrome 86.0.4240.75,,,2021-02-03 23:16:55,2021-02-03 23:16:55,0.002s,PASSED
"rigisterPW = excelTestData.getValue(3, 23)",Chrome 86.0.4240.75,,,2021-02-03 23:16:55,2021-02-03 23:16:55,0.001s,PASSED
"customKeywords.commanFunctions.logIntoBrowserWithReqCredentials(rigisterUN, rigisterPW)",Chrome 86.0.4240.75,,,2021-02-03 23:16:55,2021-02-03 23:16:59,3.729s,PASSED
customKeywords.commanFunctions.otpLogin(),Chrome 86.0.4240.75,,,2021-02-03 23:16:59,2021-02-03 23:17:06,7.217s,PASSED
"fileNameWithExten = excelTestData.getValue(2, 55)",Chrome 86.0.4240.75,,,2021-02-03 23:17:06,2021-02-03 23:17:06,0.003s,PASSED
"existedFileName = excelTestData.getValue(3, 55)",Chrome 86.0.4240.75,,,2021-02-03 23:17:06,2021-02-03 23:17:06,0.002s,PASSED
"customKeywords.commanFunctions.UploadReqFile(fileNameWithExten, existedFileName)",Chrome 86.0.4240.75,,,2021-02-03 23:17:06,2021-02-03 23:17:16,10.494s,FAILED
,,,,,,,
"Test Cases/TC_RigisterUser/RigisterUserTCs/CSP-T20_1.0_As Registered User, I want to verify that I can not scan URL with invalid format",Chrome 86.0.4240.75,,,2021-02-03 23:17:16,2021-02-03 23:18:07,50.878s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Chrome 86.0.4240.75,,,2021-02-03 23:17:17,2021-02-03 23:17:17,0.073s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Chrome 86.0.4240.75,,,2021-02-03 23:17:17,2021-02-03 23:17:17,0.119s,PASSED
customKeywords.commanFunctions.openBrowser(),Chrome 86.0.4240.75,,,2021-02-03 23:17:17,2021-02-03 23:17:42,25.022s,PASSED
"waitForElementClickable(findTestObject(""LoginAndRigisterUser/LoginLink""), TimeOut)",Chrome 86.0.4240.75,,,2021-02-03 23:17:42,2021-02-03 23:17:43,0.489s,PASSED
customKeywords.commanFunctions.clickElementWithJS(obj),Chrome 86.0.4240.75,,,2021-02-03 23:17:43,2021-02-03 23:17:44,1.047s,PASSED
"rigisterUN = excelTestData.getValue(2, 23)",Chrome 86.0.4240.75,,,2021-02-03 23:17:44,2021-02-03 23:17:44,0.002s,PASSED
"rigisterPW = excelTestData.getValue(3, 23)",Chrome 86.0.4240.75,,,2021-02-03 23:17:44,2021-02-03 23:17:44,0.000s,PASSED
"customKeywords.commanFunctions.logIntoBrowserWithReqCredentials(rigisterUN, rigisterPW)",Chrome 86.0.4240.75,,,2021-02-03 23:17:44,2021-02-03 23:17:48,3.746s,PASSED
customKeywords.commanFunctions.otpLogin(),Chrome 86.0.4240.75,,,2021-02-03 23:17:48,2021-02-03 23:17:55,7.263s,PASSED
"click(findTestObject(""Object Repository/HomePage/URL_Tab""))",Chrome 86.0.4240.75,,,2021-02-03 23:17:55,2021-02-03 23:17:58,2.990s,PASSED
"ErrorValidationMessage = excelTestData.getValue(3, 42)",Chrome 86.0.4240.75,,,2021-02-03 23:17:58,2021-02-03 23:17:58,0.002s,PASSED
"for ([i = 42, i <= 46, (i++)])",Chrome 86.0.4240.75,,,2021-02-03 23:17:58,2021-02-03 23:18:07,9.476s,FAILED
,,,,,,,
"Test Cases/TC_RigisterUser/RigisterUserTCs/CSP-T19_1.0_As Registered user, I want to verify that i can not submit URL and File at the same time",Chrome 86.0.4240.75,,,2021-02-03 23:18:07,2021-02-03 23:20:22,2m - 14.412s,FAILED
"excelTestData = findTestData(""Data Files/TestData/InspectTestData"")",Chrome 86.0.4240.75,,,2021-02-03 23:18:08,2021-02-03 23:18:08,0.063s,PASSED
"obj = findTestObject(""LoginAndRigisterUser/LoginLink"")",Chrome 86.0.4240.75,,,2021-02-03 23:18:08,2021-02-03 23:18:08,0.140s,PASSED
"objColOne = By.xpath(""//table/tbody/tr[1]/td[2]"")",Chrome 86.0.4240.75,,,2021-02-03 23:18:08,2021-02-03 23:18:08,0.013s,PASSED
"objColTwo = By.xpath(""//table/tbody/tr[2]/td[2]"")",Chrome 86.0.4240.75,,,2021-02-03 23:18:08,2021-02-03 23:18:08,0.001s,PASSED
"objColThree = By.xpath(""//table/tbody/tr[3]/td[2]"")",Chrome 86.0.4240.75,,,2021-02-03 23:18:08,2021-02-03 23:18:08,0.001s,PASSED
customKeywords.commanFunctions.openBrowser(),Chrome 86.0.4240.75,,,2021-02-03 23:18:08,2021-02-03 23:18:27,19.046s,PASSED
"waitForElementClickable(findTestObject(""LoginAndRigisterUser/LoginLink""), TimeOut)",Chrome 86.0.4240.75,,,2021-02-03 23:18:27,2021-02-03 23:18:28,0.539s,PASSED
customKeywords.commanFunctions.clickElementWithJS(obj),Chrome 86.0.4240.75,,,2021-02-03 23:18:28,2021-02-03 23:18:29,1.050s,PASSED
"rigisterUN = excelTestData.getValue(2, 23)",Chrome 86.0.4240.75,,,2021-02-03 23:18:29,2021-02-03 23:18:29,0.002s,PASSED
"rigisterPW = excelTestData.getValue(3, 23)",Chrome 86.0.4240.75,,,2021-02-03 23:18:29,2021-02-03 23:18:29,0.002s,PASSED
"customKeywords.commanFunctions.logIntoBrowserWithReqCredentials(rigisterUN, rigisterPW)",Chrome 86.0.4240.75,,,2021-02-03 23:18:29,2021-02-03 23:18:32,3.655s,PASSED
customKeywords.commanFunctions.otpLogin(),Chrome 86.0.4240.75,,,2021-02-03 23:18:32,2021-02-03 23:18:40,7.261s,PASSED
"click(findTestObject(""Object Repository/HomePage/URL_Tab""))",Chrome 86.0.4240.75,,,2021-02-03 23:18:40,2021-02-03 23:18:43,2.957s,PASSED
"urlOne = excelTestData.getValue(4, 38)",Chrome 86.0.4240.75,,,2021-02-03 23:18:43,2021-02-03 23:18:43,0.002s,PASSED
randomStrOne = customKeywords.commanFunctions.getRandomAlphaString(4),Chrome 86.0.4240.75,,,2021-02-03 23:18:43,2021-02-03 23:18:43,0.683s,PASSED
"sampleURLOne = urlOne + randomStrOne + "".com""",Chrome 86.0.4240.75,,,2021-02-03 23:18:43,2021-02-03 23:18:43,0.000s,PASSED
"sendKeys(findTestObject(""Object Repository/HomePage/PleaseEnterURL_Input""), sampleURLOne)",Chrome 86.0.4240.75,,,2021-02-03 23:18:43,2021-02-03 23:18:44,0.629s,PASSED
